   2.00000000 -32.18639426 
   1.94526316 -32.18636467 
   1.89052632 -32.18579124 
   1.83578947 -32.18504975 
   1.78105263 -32.18410922 
   1.72631579 -32.18291607 
   1.67157895 -32.18142369 
   1.61684211 -32.17955899 
   1.56210526 -32.17722874 
   1.50736842 -32.17434376 
   1.45263158 -32.17082255 
   1.39789474 -32.16661493 
   1.34315789 -32.16161930 
   1.28842105 -32.15589541 
   1.23368421 -32.14963291 
   1.17894737 -32.14323099 
   1.12421053 -32.14070539 
   1.06947368 -32.13812309 
   1.01473684 -32.27993763 
