   1.70000000 -32.18147290 
   1.66105263 -32.18038273 
   1.62210526 -32.17896967 
   1.58315789 -32.17731657 
   1.54421053 -32.17539954 
   1.50526316 -32.17420660 
   1.46631579 -32.17176211 
   1.42736842 -32.16896580 
   1.38842105 -32.16579508 
   1.34947368 -32.16223758 
   1.31052632 -32.15829971 
   1.27157895 -32.15402523 
   1.23263158 -32.14951742 
   1.19368421 -32.14493890 
   1.15473684 -32.14048449 
   1.11578947 -32.14021730 
   1.07684211 -32.13840583 
   1.03789474 -32.27826921 
